date,DCC_rho
2016-08-01,-0.07770058730126053
2016-09-01,-0.08292648288927681
2016-10-01,-0.0842216420654003
2016-11-01,-0.07032738665154104
2016-12-01,-0.08487548807999531
2017-01-01,-0.09087946394212375
2017-02-01,-0.0874500228763781
2017-03-01,-0.07971373898078256
2017-04-01,-0.08352125647818363
2017-05-01,-0.08553716824758828
2017-06-01,-0.0874225472488212
2017-07-01,-0.08804735633515426
2017-08-01,-0.09099656688552338
2017-09-01,-0.09231258947640861
2017-10-01,-0.08712172284907634
2017-11-01,-0.09266499299026458
2017-12-01,-0.09059081242918016
2018-01-01,-0.08948775787193775
2018-02-01,-0.056762266970994374
2018-03-01,-0.07011646714200218
2018-04-01,-0.07651324825786872
2018-05-01,-0.08263322136342799
2018-06-01,-0.088525542637112
2018-07-01,-0.08734892778361664
2018-08-01,-0.0981026956524571
2018-09-01,-0.09922899422559918
2018-10-01,-0.09319208170179977
2018-11-01,-0.09554462025736492
2018-12-01,-0.09171861221660728
2019-01-01,-0.10323744736674549
2019-02-01,-0.08467824117137542
2019-03-01,-0.0844286310702151
2019-04-01,-0.08715519550285619
2019-05-01,-0.09049650958726511
2019-06-01,-0.08493298160991983
2019-07-01,-0.06591110403228254
2019-08-01,-0.07609729800673229
2019-09-01,-0.08926127029782326
2019-10-01,-0.08853198881916373
2019-11-01,-0.0893407096331086
2019-12-01,-0.09225883875897918
2020-01-01,-0.08974035325843123
2020-02-01,-0.09225695770449567
2020-03-01,-0.10129109966894867
2020-04-01,-0.08658197811109532
2020-05-01,-0.06573638891872625
2020-06-01,-0.07542875303811832
2020-07-01,-0.08174448355386481
2020-08-01,-0.07207824385101351
2020-09-01,-0.06573016596775545
2020-10-01,-0.07207917597679564
2020-11-01,-0.07793012979504745
2020-12-01,-0.09143092479385385
2021-01-01,-0.09057259285333202
2021-02-01,-0.0892900224233622
2021-03-01,-0.09167828897484234
2021-04-01,-0.09945966732321958
2021-05-01,-0.08842152958040886
2021-06-01,-0.08833103225321068
2021-07-01,-0.08920385210845626
2021-08-01,-0.09042711608734211
2021-09-01,-0.09181763596516633
2021-10-01,-0.08345006905697742
2021-11-01,-0.08647454216684809
2021-12-01,-0.08950212466443436
2022-01-01,-0.0940592887088208
2022-02-01,-0.09488472682982185
2022-03-01,-0.0959472235234494
2022-04-01,-0.08219720006683554
2022-05-01,-0.07655513163594595
2022-06-01,-0.07930811134509591
2022-07-01,-0.07765277932814814
2022-08-01,-0.10162098399497295
2022-09-01,-0.0968722064293777
2022-10-01,-0.06878552414949482
2022-11-01,-0.08125752666947626
2022-12-01,-0.0796001066356326
2023-01-01,-0.09285478246353483
2023-02-01,-0.07971148497640708
2023-03-01,-0.08020678154197747
2023-04-01,-0.08102240373107869
2023-05-01,-0.08294963018386624
2023-06-01,-0.08533398513687875
2023-07-01,-0.09624275803776557
2023-08-01,-0.09194538690603218
2023-09-01,-0.08570732266209172
2023-10-01,-0.08355350472660669
2023-11-01,-0.08484061576161733
2023-12-01,-0.06667370217214103
2024-01-01,-0.07395485300880347
2024-02-01,-0.08126403660940959
2024-03-01,-0.08746564998710771
2024-04-01,-0.07545059663955496
2024-05-01,-0.10303477180823979
2024-06-01,-0.09430421261052169
2024-07-01,-0.09297293555599517
2024-08-01,-0.0897590336740172
2024-09-01,-0.08599396005970024
2024-10-01,-0.08322226381988057
2024-11-01,-0.09151114344301789
2024-12-01,-0.09619262806445059
